date,product,category,region,quantity,price,revenue
2022-01-01,USB Hub,Accessories,Surabaya,1,327042,327042
2022-01-01,Smartphone Lite,Electronics,Semarang,1,4185595,4185595
2022-01-01,Smart Watch,Electronics,Jakarta,2,2549329,5098658
2022-01-01,Laptop Gaming,Electronics,Makassar,1,13968055,13968055
2022-01-01,Laptop Gaming,Electronics,Semarang,2,13967983,27935966
2022-01-01,"Monitor 27""",Electronics,Bandung,1,3190658,3190658
2022-01-01,RAM 16GB,Components,Surabaya,3,1287882,3863646
2022-01-01,External SSD 1TB,Storage,Surabaya,1,1836401,1836401
2022-01-01,RAM 16GB,Components,Jakarta,1,1249937,1249937
2022-01-01,Wireless Headphones,Accessories,Yogyakarta,3,1356175,4068525
2022-01-01,Laptop Gaming,Electronics,Medan,2,16409729,32819458
2022-01-01,Laptop Office,Electronics,Makassar,2,8531908,17063816
2022-01-01,Smart Watch,Electronics,Semarang,3,2356169,7068507
2022-01-01,Laptop Office,Electronics,Bandung,1,7490919,7490919
2022-01-01,Laptop Office,Electronics,Medan,3,7493447,22480341
2022-01-01,"Tablet 10""",Electronics,Surabaya,1,4804242,4804242
2022-01-01,Wireless Headphones,Accessories,Semarang,1,1507426,1507426
2022-01-01,Smart Watch,Electronics,Semarang,2,2465972,4931944
2022-01-01,Smartphone Pro,Electronics,Medan,2,11498949,22997898
2022-01-01,Gaming Mouse,Accessories,Semarang,1,511185,511185
2022-01-01,"Monitor 27""",Electronics,Yogyakarta,1,3247645,3247645
2022-01-01,RAM 16GB,Components,Yogyakarta,1,1150114,1150114
2022-01-01,Wireless Headphones,Accessories,Makassar,1,1459908,1459908
2022-01-01,Smart Watch,Electronics,Medan,2,2478034,4956068
2022-01-01,Gaming Mouse,Accessories,Surabaya,3,528517,1585551
2022-01-01,"Tablet 10""",Electronics,Makassar,1,4699673,4699673
2022-01-01,"Tablet 10""",Electronics,Makassar,2,5014234,10028468
2022-01-01,Gaming Mouse,Accessories,Surabaya,1,509241,509241
2022-01-01,"Monitor 27""",Electronics,Yogyakarta,1,3182515,3182515
2022-01-01,Laptop Office,Electronics,Semarang,1,8172071,8172071
2022-01-01,Gaming Mouse,Accessories,Makassar,2,467052,934104
2022-01-01,Mechanical Keyboard,Accessories,Yogyakarta,2,1095612,2191224
2022-01-01,Laptop Gaming,Electronics,Makassar,2,16346656,32693312
2022-01-01,RAM 16GB,Components,Jakarta,1,1311751,1311751
2022-01-01,"Tablet 10""",Electronics,Semarang,1,5308397,5308397
2022-01-01,Smart Watch,Electronics,Yogyakarta,2,2402306,4804612
2022-01-01,Smartphone Pro,Electronics,Semarang,2,11034413,22068826
2022-01-01,"Tablet 10""",Electronics,Surabaya,3,5184233,15552699
2022-01-01,Smartphone Pro,Electronics,Yogyakarta,1,11856365,11856365
2022-01-01,Smart Watch,Electronics,Bandung,2,2311019,9334098
2022-01-01,Smart Watch,Electronics,Surabaya,5,2497588,12487940
2022-01-01,Laptop Gaming,Electronics,Jakarta,1,13603165,13603165
2022-01-01,Laptop Office,Electronics,Yogyakarta,2,8654912,17309824
2022-01-01,"Monitor 27""",Electronics,Medan,3,3331145,9993435
2022-01-01,"Monitor 27""",Electronics,Makassar,1,3613765,3613765
2022-01-01,Gaming Mouse,Accessories,Yogyakarta,4,481171,1924684
2022-01-01,External SSD 1TB,Storage,Medan,2,1807224,3614448
2022-01-02,USB Hub,Accessories,Makassar,2,281091,562182
2022-01-02,Mechanical Keyboard,Accessories,Bandung,1,1312700,1312700
2022-01-02,Laptop Gaming,Electronics,Surabaya,2,15825398,31650796
2022-01-02,Laptop Gaming,Electronics,Surabaya,1,16318496,16318496
2022-01-02,Laptop Office,Electronics,Jakarta,4,8631723,34526892
2022-01-02,"Monitor 27""",Electronics,Surabaya,1,3568529,3568529
